         448722 function calls in 0.385 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.205    0.205    0.385    0.385 1814485117.py:41(compute_mis)
        1    0.000    0.000    0.000    0.000 1814485117.py:82(<listcomp>)
        8    0.000    0.000    0.000    0.000 category.py:1813(or_subcategory)
        8    0.000    0.000    0.000    0.000 category_with_axiom.py:1973(__classcall__)
        8    0.000    0.000    0.000    0.000 dynamic_class.py:129(dynamic_class)
     1998    0.000    0.000    0.000    0.000 generic_graph.py:11306(vertex_iterator)
    35873    0.033    0.000    0.076    0.000 generic_graph.py:11385(neighbor_iterator)
        2    0.000    0.000    0.001    0.000 generic_graph.py:11456(vertices)
    11960    0.013    0.000    0.089    0.000 generic_graph.py:11560(neighbors)
        6    0.000    0.000    0.001    0.000 iostream.py:206(schedule)
        4    0.000    0.000    0.000    0.000 iostream.py:418(_is_master_process)
        4    0.000    0.000    0.000    0.000 iostream.py:437(_schedule_flush)
        4    0.000    0.000    0.001    0.000 iostream.py:500(write)
        6    0.000    0.000    0.000    0.000 iostream.py:96(_event_pipe)
    50833    0.028    0.000    0.037    0.000 set.py:1018(frozenset)
    50833    0.027    0.000    0.071    0.000 set.py:1046(__hash__)
     3985    0.005    0.000    0.012    0.000 set.py:1058(__richcmp__)
        6    0.000    0.000    0.000    0.000 set.py:1168(intersection)
        2    0.000    0.000    0.000    0.000 set.py:1183(difference)
        6    0.000    0.000    0.000    0.000 set.py:373(__and__)
        2    0.000    0.000    0.000    0.000 set.py:429(__sub__)
        8    0.000    0.000    0.000    0.000 set.py:472(__init__)
        4    0.000    0.000    0.000    0.000 set.py:606(__contains__)
    78751    0.013    0.000    0.013    0.000 set.py:767(object)
        8    0.000    0.000    0.000    0.000 set.py:856(__init__)
    19932    0.012    0.000    0.033    0.000 set.py:919(__iter__)
    27918    0.019    0.000    0.023    0.000 set.py:995(set)
        8    0.000    0.000    0.000    0.000 sets_cat.py:962(_element_constructor_)
        6    0.001    0.000    0.001    0.000 socket.py:621(send)
        6    0.000    0.000    0.000    0.000 threading.py:1102(_wait_for_tstate_lock)
        6    0.000    0.000    0.000    0.000 threading.py:1169(is_alive)
        6    0.000    0.000    0.000    0.000 threading.py:553(is_set)
        6    0.000    0.000    0.000    0.000 weakref.py:348(__new__)
        5    0.000    0.000    0.000    0.000 weakref.py:353(__init__)
        6    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x61a04bf9b9a0}
        8    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
    50833    0.007    0.000    0.007    0.000 {built-in method builtins.hash}
     4021    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
    19932    0.003    0.000    0.003    0.000 {built-in method builtins.iter}
    68734    0.008    0.000    0.008    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.001    0.001 {built-in method builtins.print}
        4    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
     3985    0.001    0.000    0.001    0.000 {built-in method sage.structure.richcmp.rich_to_bool}
        2    0.000    0.000    0.000    0.000 {built-in method time.time}
        6    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
     1996    0.001    0.000    0.003    0.000 {method 'add' of 'set' objects}
        6    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
     2996    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        2    0.000    0.000    0.000    0.000 {method 'difference' of 'set' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        6    0.000    0.000    0.000    0.000 {method 'intersection' of 'set' objects}
        2    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
    11960    0.005    0.000    0.005    0.000 {method 'iterator_nbrs' of 'sage.graphs.base.c_graph.CGraphBackend' objects}
        2    0.000    0.000    0.000    0.000 {method 'iterator_verts' of 'sage.graphs.base.c_graph.CGraphBackend' objects}
        1    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
     1996    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        8    0.000    0.000    0.000    0.000 {sage.rings.integer.is_Integer}
